"Finding ID","Experiment/run","Claim","Endpoint","Sample/unit","Result","Primary/secondary","Controls","Method validity","Supersession","Independent evidence","Supported claim","Unsupported extension","Source","Publication action"
"F-011","EXP-005 V7","Held-out lexical variants separate authentic and damage","Held-out mean difference","Same three OpenAI model configurations","+3.388889 / +5.922222 / +3.722222","Secondary","Held-out lexical prompt variants","VALID_WITH_LIMITS","None","Original sample; not a new replication","Three held-out contrasts passed within specified provider configurations","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-005__V7_-_Cross-Model_Deployment_Localization/07_ADJUDICATION/EXP-005_V7_CROSS_MODEL_AUTHORITY_ADDENDUM_20260918.md [SHA256 DCAE51BD92DF…]","Index addendum"
"F-012","EXP-005 V7","Generic recursion specificity under lexical total score","Authentic vs recursion mean","Three model configurations","Luna 13.250 vs 16.806; Terra 8.683 vs 5.778; Sol 6.856 vs 9.017","Control/secondary","Generic recursion; paraphrase","MIXED","None","Original sample; not a new replication","Generic recursion exceeds authentic in two of three settings","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-005__V7_-_Cross-Model_Deployment_Localization/07_ADJUDICATION/EXP-005_V7_CROSS_MODEL_AUTHORITY_ADDENDUM_20260918.md [SHA256 DCAE51BD92DF…]","Index addendum"
"F-013","EXP-006 V8","Five-factor prediction and decoder recover assigned code","Seen/unseen R2; cosine; decoder","5,760 valid responses; 1,920 seed-condition units","Historical unseen R2 .377233; macro balanced .761106; exact .175; ALL confirmatory readings INVALID","Primary","32-condition factorial; 8 unseen combinations; permutations","INVALID_TARGET_CONTAMINATION","Post-hoc diagnostics only; no frozen corrected run","Original sample; not a new replication","Intended five-factor code remains unresolved","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-006__V8_-_Compositional_Structural_Control/07_ADJUDICATION/EXP-006_V8_FACTOR_LABEL_COLLISION_AUTHORITY_ADDENDUM_20260918.md [SHA256 A3A97A458BFD…] ; 01_CANONICAL_EXPERIMENTS/EXP-006__V8_-_Compositional_Structural_Control/05_OUTPUTS/SOURCE/16_FINAL_SUMMARY.json [SHA256 6198429581F4…] ; 01_CANONICAL_EXPERIMENTS/EXP-006__V8_-_Compositional_Structural_Control/09_FREEZE/SOURCE/03_FROZEN_SPECIFICATION.json [SHA256 9A1426843D0A…]","Index addendum"
"F-014","EXP-006 V8","Two factor labels overwritten by response features","Assigned factor equality","5,760 response rows; 1,920 aggregate rows","META 5,162/5,760; PRESERVATION 5,473/5,760 mismatches; 135/160 unseen true_code disagree","Methodological defect","Raw factor labels vs derived feature columns","INVALID_TARGET_CONTAMINATION","None","Original sample; not a new replication","Prediction, decoding and interaction matrices contaminated by target information or mislabels","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-006__V8_-_Compositional_Structural_Control/07_ADJUDICATION/EXP-006_V8_FACTOR_LABEL_COLLISION_AUTHORITY_ADDENDUM_20260918.md [SHA256 A3A97A458BFD…]","Index addendum"
"F-015","EXP-006 V8","Zero observed interaction replications means no five-factor interactions","Ten pairwise interaction tests","Same contaminated factorial dataset","Original output 0/10; inferential conclusion INVALID","Secondary","Factor-product design matrix corrupted","INVALID_TARGET_CONTAMINATION","None","Original sample; not a new replication","Absence of intended interactions cannot be inferred from this test","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-006__V8_-_Compositional_Structural_Control/07_ADJUDICATION/EXP-006_V8_FACTOR_LABEL_COLLISION_AUTHORITY_ADDENDUM_20260918.md [SHA256 A3A97A458BFD…]","Index addendum"
"F-016","EXP-006 V8","Post-hoc factor-label reconstruction","Recomputed diagnostic scores","Same original 5,760 observations","Unseen R2 .302682; cosine .614932; exact .1125; exploratory ONLY","Post-hoc","Labels reconstructed from condition names","PARTIAL_POST_HOC","None","Original sample; not a new replication","Reanalysis feasible; diagnostic scores cannot replace frozen confirmation","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-006__V8_-_Compositional_Structural_Control/07_ADJUDICATION/EXP-006_V8_FACTOR_LABEL_COLLISION_AUTHORITY_ADDENDUM_20260918.md [SHA256 A3A97A458BFD…]","Index addendum"
"F-017","EXP-007 V9","Direct transport preserves lexical-feature vector","Three transport cosine thresholds","4,320 outputs; nominal 80 seed labels","Forest→city .981608; circuit .960523; orchestra .945165","Component","Native baseline vectors","VALID_COMPONENT_NONDISCRIMINATIVE","None","Original sample; not a new replication","All three observed lexical cosine comparisons passed numerical thresholds","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-007__V9_-_Representational_Transport_Operator/07_ADJUDICATION/EXP-007_V9_TRANSPORT_AUTHORITY_ADDENDUM_20260918.md [SHA256 3176F8E96E9D…] ; 01_CANONICAL_EXPERIMENTS/EXP-007__V9_-_Representational_Transport_Operator/05_OUTPUTS/SOURCE/16_FINAL_SUMMARY.json [SHA256 D9E462C3B296…]","Index addendum"
"F-018","EXP-007 V9","Composition and inverse operations execute sequentially","Two composition + two inverse cosine comparisons","Same single-call prompts, no observed intermediate call","Composition .976409/.982228; inverse .950673/.936111; thresholds pass","Component","Direct endpoint comparison","PARTIAL_SINGLE_PROMPT_ONLY","None","Original sample; not a new replication","Four single-prompt resemblance thresholds passed","Does not demonstrate actual chained execution or inverse recovery","01_CANONICAL_EXPERIMENTS/EXP-007__V9_-_Representational_Transport_Operator/07_ADJUDICATION/EXP-007_V9_TRANSPORT_AUTHORITY_ADDENDUM_20260918.md [SHA256 3176F8E96E9D…]","Index addendum"
"F-019","EXP-007 V9","Transport is specific to undamaged, unshuffled structure","Authentic minus damaged/shuffled contrasts","80 nominal repeated-seed prompts","-3.2083/-2.8042 damage; -2.1625/-1.2458 shuffle; all FAIL; full hypothesis NOT_SUPPORTED","Primary","Damage and shuffled controls; surface only +4.8042 passed","VALID_NEGATIVE_WITH_DESIGN_LIMITS","None","Original sample; not a new replication","The specified full transport-operator gate failed","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-007__V9_-_Representational_Transport_Operator/07_ADJUDICATION/EXP-007_V9_TRANSPORT_AUTHORITY_ADDENDUM_20260918.md [SHA256 3176F8E96E9D…] ; 01_CANONICAL_EXPERIMENTS/EXP-007__V9_-_Representational_Transport_Operator/05_OUTPUTS/SOURCE/08_CONDITION_RESULTS.csv [SHA256 3E6D86C75C1B…] ; 01_CANONICAL_EXPERIMENTS/EXP-007__V9_-_Representational_Transport_Operator/05_OUTPUTS/SOURCE/16_FINAL_SUMMARY.json [SHA256 D9E462C3B296…]","Index addendum"
"F-020","EXP-007 V9","Baseline and independent source-prompt specificity","Nontransport baseline cosines; distinct prompt hashes","1,440 frozen condition-seed entries","Native baseline .900377–.962223; only 167 distinct prompts; 15/18 conditions one repeated prompt","Methodological","Native-world pairs; prompt-dedup","LIMITED_GENERALIZATION","None","Original sample; not a new replication","High nontransport similarity and repeated prompts limit transport discrimination","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-007__V9_-_Representational_Transport_Operator/07_ADJUDICATION/EXP-007_V9_TRANSPORT_AUTHORITY_ADDENDUM_20260918.md [SHA256 3176F8E96E9D…]","Index addendum"
"F-021","EXP-008 V6 Clean","Response-validity correction preserves condition discrimination","Classifier confirmation/holdout AUC","8,000 valid nonempty responses","AUC ≈ .968/.970; original prompts byte-identical","Primary corrective","Same prompts; changed extraction and reasoning settings","VALID_WITH_METRIC_LIMITS","Corrective to EXP-002 response validity","Original sample; not a new replication","Clean lexical fingerprint classification survives under revised runner","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-008__V11_-_Relational_Graph_Structural_Metric_Clean_Repair/07_ADJUDICATION/EXP-008_V6_CLEAN_IDENTITY_AND_AUTHORITY_ADDENDUM_20260918.md [SHA256 3DDA36DE6549…] ; 01_CANONICAL_EXPERIMENTS/EXP-008__V11_-_Relational_Graph_Structural_Metric_Clean_Repair/05_OUTPUTS/SOURCE/16_FINAL_SUMMARY.json [SHA256 43BD9C7930FB…] ; 01_CANONICAL_EXPERIMENTS/EXP-008__V11_-_Relational_Graph_Structural_Metric_Clean_Repair/09_FREEZE/SOURCE/00A_VALID_TEXT_COMPLETENESS.json [SHA256 3F57055C5B3F…]","Index addendum"
"F-022","EXP-008 V6 Clean","Which original structural coordinates survive","Five coordinate contrasts","Clean V6 seed groups","Meta-control/preservation/terminal PASS; direction/order FAIL; recursion specificity FAIL","Secondary","Predefined lexical score; generic recursion","MIXED","None","Original sample; not a new replication","Three of five coordinate effects survive this clean lexical metric","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-008__V11_-_Relational_Graph_Structural_Metric_Clean_Repair/07_ADJUDICATION/EXP-008_V6_CLEAN_IDENTITY_AND_AUTHORITY_ADDENDUM_20260918.md [SHA256 3DDA36DE6549…] ; 01_CANONICAL_EXPERIMENTS/EXP-008__V11_-_Relational_Graph_Structural_Metric_Clean_Repair/05_OUTPUTS/SOURCE/09_COORDINATE_CONTRASTS.csv [SHA256 0A717578B81A…]","Index addendum"
"F-023","EXP-009 V12 original","Original ten-edge graph primary gate","Hard-control AUC + edge-family & controls","80 seeds; 34 conditions; 8,156/8,160 main; 720/720 native","Primary gate reconstructed PASS; hard AUC 1.0/1.0","Primary reconstructed","Nine deletion; eight reversal; matched and surface","VALID_WITH_MISSINGNESS_AND_SWITCH_DEFECT","WF1-A fresh corrective run","Original sample; not a new replication","Black-box graph-task aggregate gate passes its frozen reconstruction","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-009__V12_-_Relational_Topology_Causal_Map/07_ADJUDICATION/EXP-009_V12_ORIGINAL_RESULTS_AUTHORITY_ADDENDUM_20260918.md [SHA256 0CC2962ED185…] ; 01_CANONICAL_EXPERIMENTS/EXP-009__V12_-_Relational_Topology_Causal_Map/00_CONTROL/SOURCE/14_CONTROL_MATCH_AUDIT.csv [SHA256 B80501F63461…] ; 01_CANONICAL_EXPERIMENTS/EXP-009__V12_-_Relational_Topology_Causal_Map/09_FREEZE/SOURCE/03_FROZEN_SPECIFICATION.json [SHA256 208460370159…]","Index addendum"
"F-024","EXP-009 V12 original","Original pure-edge intervention response sensitivity","Per-edge replication, confirmation + holdout","80 seeds; partially missing repetitions","9/9 pure deletions; 7/8 pure reversals; E8 reversal confirmation Holm p≈.0579 FAIL","Secondary edge","Isomorphic baseline; non-isomorphic controls","MIXED","None","Original sample; not a new replication","16/17 pure edge interventions replicate; E8 reversal does not","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-009__V12_-_Relational_Topology_Causal_Map/07_ADJUDICATION/EXP-009_V12_ORIGINAL_RESULTS_AUTHORITY_ADDENDUM_20260918.md [SHA256 0CC2962ED185…]","Index addendum"
"F-025","EXP-009 V12 original","Switch-linked individual edge tests isolated","E7 delete/reverse and E9 reverse switch validity","All 80 seeds each switch-linked condition","SWITCH_VALID=false for 3 conditions × 80 seeds","Method audit","Switch feasibility audit","INVALID_FOR_PURE_EDGE","WF1-A repaired switch construction","Original sample; not a new replication","Original switch-linked edge effects not interpretable as isolated edge intervention","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-009__V12_-_Relational_Topology_Causal_Map/07_ADJUDICATION/EXP-009_V12_ORIGINAL_RESULTS_AUTHORITY_ADDENDUM_20260918.md [SHA256 0CC2962ED185…] ; 01_CANONICAL_EXPERIMENTS/EXP-009__V12_-_Relational_Topology_Causal_Map/00_CONTROL/SOURCE/14_CONTROL_MATCH_AUDIT.csv [SHA256 B80501F63461…]","Index addendum"
"F-026","EXP-009 V12 original","Direction, order and matched-control response sensitivity","Positive directional graph contrasts","Confirmation and final seed partitions","Direction/order/meta-switch/degree/complexity/topology matched PASS both; preservation/terminal FAIL both","Secondary","Isomorphic, format, matched controls","MIXED","None","Original sample; not a new replication","Specified graph-task directional and order contrasts pass; preservation and terminal do not","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-009__V12_-_Relational_Topology_Causal_Map/07_ADJUDICATION/EXP-009_V12_ORIGINAL_RESULTS_AUTHORITY_ADDENDUM_20260918.md [SHA256 0CC2962ED185…]","Index addendum"
"F-027","EXP-009 V12 original","Native proxy identifies all controls","Aggregate count rule; individual topology match","720 native generated cells","Aggregate secondary gate PASS; topology-matched native control FAIL both partitions","Secondary","Three graph-only frames, five pooled controls","MIXED","None","Original sample; not a new replication","Aggregate output-only proxy pass with individual matched-control failure","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-009__V12_-_Relational_Topology_Causal_Map/07_ADJUDICATION/EXP-009_V12_ORIGINAL_RESULTS_AUTHORITY_ADDENDUM_20260918.md [SHA256 0CC2962ED185…]","Index addendum"
"F-028","EXP-010 F1","Historical lineage distinguishable from same-user nonlineage","Joint and surface-free AUC","137 lineage vs 175 same-author controls","Joint holdout .848968; matched .827109; surface-free .813743","Primary historical","Same-author, topic/terminology, matched pairs","VALID_WITH_CONFOUNDING_LIMITS","None","Original sample; not a new replication","Historical within-author conversations separable under tested features and controls","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-010__F1_-_Blind_Longitudinal_Rediscovery_Final/07_ADJUDICATION/EXP-010_F1_FINAL_AUTHORITY_ADDENDUM_20260918.md [SHA256 4FEE9F9DDCAC…] ; 01_CANONICAL_EXPERIMENTS/EXP-010__F1_-_Blind_Longitudinal_Rediscovery_Final/07_ADJUDICATION/SOURCE/03_F1_FINAL_ADJUDICATION.md [SHA256 C0CC82B66C5F…]","Index addendum"
"F-029","EXP-010 F1","Short-window and ablation robustness","8/12 turn, dropout, operator ablation","Same F1 historical corpus and partitions","8-turn .704983; 12-turn .744008; dropout .763881; operator ablation mean .853290→.679877","Secondary","Length windows, terminology dropout, feature ablation","VALID_REUSED_DATA","None","Original sample; not a new replication","Specified historical classifiers retain signal after tested transformations; operator group contributes to scores","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-010__F1_-_Blind_Longitudinal_Rediscovery_Final/07_ADJUDICATION/EXP-010_F1_FINAL_AUTHORITY_ADDENDUM_20260918.md [SHA256 4FEE9F9DDCAC…]","Index addendum"
"F-030","EXP-010 F1","Early-to-late genealogy beats random-ancestor baseline","Early→later vs random ancestor AUC","Same author historical corpus","Forward .830448 vs null .710745; random-ancestor p≈.000833; reverse .811513","Secondary/exploratory","Random ancestor; reverse direction","PARTIAL_DIRECTION_UNRESOLVED","None","Original sample; not a new replication","Forward signal against specific random ancestor null; forward>reverse NOT established","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-010__F1_-_Blind_Longitudinal_Rediscovery_Final/07_ADJUDICATION/EXP-010_F1_FINAL_AUTHORITY_ADDENDUM_20260918.md [SHA256 4FEE9F9DDCAC…]","Index addendum"
"F-031","EXP-010 F1","External LM Arena population separation","BR2 surface-free AUC","137 lineage vs 624 or 2,614 external controls","AUC .758177 / .757960; BR2 strict match max SMD 2.575758 > .25 FAIL","Secondary external","Same-user controls; strict matching attempted","MIXED_MATCHING_FAILED","None","Original sample; not a new replication","Unmatched external score separation observed; balanced confirmatory claim unavailable","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-010__F1_-_Blind_Longitudinal_Rediscovery_Final/07_ADJUDICATION/EXP-010_F1_FINAL_AUTHORITY_ADDENDUM_20260918.md [SHA256 4FEE9F9DDCAC…]","Index addendum"
"F-032","EXP-011 F2-A","Surface-free score transfers to selected external shards","External AUC","137 lineage vs 6,765 eligible WildChat conversations","Surface-free AUC .643281; R1-compatible .482327; mixed classifier results","Primary/secondary","Three selected shards; R1-compatible comparator","MIXED","None","Original sample; not a new replication","Unmatched positive surface-free separation but no R1 positive separation","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-011__F2_-_External_Population_Rarity/07_ADJUDICATION/EXP-011_F2_A_EXTERNAL_RARITY_AUTHORITY_ADDENDUM_20260918.md [SHA256 3DAEB5BF55E7…]","Index addendum"
"F-033","EXP-011 F2-A","Full-lineage nuisance calibration","CEM common support and weighted SMD","137 lineage; 6,765 external","68/137 support=.496 <.70; gate FAILED; within-support max SMD .040846","Primary calibration","Length, turns, code bins","FAILED_CALIBRATION","None","Original sample; not a new replication","Matched inference confined to supported subset; full-lineage matching failed","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-011__F2_-_External_Population_Rarity/07_ADJUDICATION/EXP-011_F2_A_EXTERNAL_RARITY_AUTHORITY_ADDENDUM_20260918.md [SHA256 3DAEB5BF55E7…]","Index addendum"
"F-034","EXP-011 F2-A","Threshold exceedances imply unique reproductions","Surface-free score ≥ lineage max","6,765 external conversations","123/6,765 at or above lineage maximum; probability saturation at 1.0","Secondary descriptive","Score thresholds; ties","NOT_ARCHITECTURE_MATCH","None","Original sample; not a new replication","External score exceedance with extensive overlap, not verified RSOS reproduction","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-011__F2_-_External_Population_Rarity/07_ADJUDICATION/EXP-011_F2_A_EXTERNAL_RARITY_AUTHORITY_ADDENDUM_20260918.md [SHA256 3DAEB5BF55E7…]","Index addendum"
"F-035","EXP-012 F2-B","Frozen passive classifiers separate selected external population","Four margin AUCs","137 lineage vs 13,408 eligible English WildChat conversations","Joint .897449; operator .893104; surface-free .723693; R1 .743631","Primary empirical","Six fresh shards; frozen models","VALID_UNMATCHED_ONLY","F2-A incomplete configurations addressed; nuisance not repaired","Original sample; not a new replication","Unmatched external ranking separation observed under four frozen scores","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-012__F2-B_-_Corrected_External_Rarity/07_ADJUDICATION/EXP-012_F2_B_CORRECTED_RARITY_AUTHORITY_ADDENDUM_20260918.md [SHA256 36834AB06F4A…]","Index addendum"
"F-036","EXP-012 F2-B","Strict five-component tail conjunction frequency","Empirical strict 90%-tolerance match rate","13,408 eligible conversations; 5,294 cluster IDs","3/13,408; lineage coverage 110/137=.8029; at 95% tolerance 151/13,408","Secondary descriptive","Joint/operator margins + three geometric scores; frozen cutoffs","VALID_SAMPLE_SPECIFIC","None","Original sample; not a new replication","Three passive coordinate near-hits under strict frozen conjunction","Neither unique architecture nor globally representative prevalence","01_CANONICAL_EXPERIMENTS/EXP-012__F2-B_-_Corrected_External_Rarity/07_ADJUDICATION/EXP-012_F2_B_CORRECTED_RARITY_AUTHORITY_ADDENDUM_20260918.md [SHA256 36834AB06F4A…]","Index addendum"
"F-037","EXP-012 F2-B","Nuisance balance supports full-population external separation","CEM common support","137 lineage, 13,408 external","60/137 support=.437956 <.70; gate FAILED","Primary calibration","Length, turns, code bins","FAILED_CALIBRATION","None","Original sample; not a new replication","Unmatched AUC retained; full-lineage nuisance-controlled claim unavailable","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-012__F2-B_-_Corrected_External_Rarity/07_ADJUDICATION/EXP-012_F2_B_CORRECTED_RARITY_AUTHORITY_ADDENDUM_20260918.md [SHA256 36834AB06F4A…]","Index addendum"
"F-038","EXP-012 F2-B","Rare tail confidence is independent by person","Conversation-level CI and cluster structure","13,408 conversations, 5,294 cluster IDs","Reported CI .0000461–.0006537 unadjusted for clustering","Uncertainty","Conversation vs user cluster","UNRESOLVED_CLUSTERING","None","Original sample; not a new replication","Conversation-level interval only; no independent-user prevalence bound","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-012__F2-B_-_Corrected_External_Rarity/07_ADJUDICATION/EXP-012_F2_B_CORRECTED_RARITY_AUTHORITY_ADDENDUM_20260918.md [SHA256 36834AB06F4A…]","Index addendum"
"F-039","EXP-013 WF1-P0","Historical dynamics differ in matched windows","Dominant entropy, unique states and dwell d","1,775 conversations; 72,639 extracted messages; 8/12 windows","Entropy d 1.293/1.194; states d 1.189/1.096; dwell d .653/.836","Post-discovery","Same-author F1 labels, fixed length windows","DISCOVERY_ONLY","None","Original sample; not a new replication","Internal fixed-window lexical-family differences; not external mechanism confirmation","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-013__WF1-P0_-_Historical_Corpus_Bridge/07_ADJUDICATION/EXP-013_WF1_P0_DISCOVERY_AND_FEATURE_FREEZE_AUTHORITY_ADDENDUM_20260918.md [SHA256 BFB030FEEC38…]","Index addendum"
