SOURCE_FAMILY,CLASSIFICATION,REASON,FILE_NAME,FULL_PATH,SIZE_BYTES,INVALID_SIGNAL_EXCERPT,DEVELOPMENT_SIGNAL_EXCERPT,POSITIVE_SIGNAL_EXCERPT,MIXED_SIGNAL_EXCERPT
F2,AUTHORITATIVE_CANDIDATE,3 positive authority signals,STATUS_LEDGER.csv,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\07_AUDIT\STATUS_LEDGER.csv,1271,,,"ndow deterministic fixture parity passed. EXACT_ELIGIBILITY,PASS,raw >=1500 chars/4 turns and postblind >=800 chars/3 turns. FRESH_EXTERNAL_RETRAINING,NO,All models and thresholds frozen from historical RSOS data before external rows were read. SIGMOID_RARITY,NOT_USED_PRIMARY,Primary rarity uses raw margins and multivariate geometry. TRUE_NEAREST_NEIGHBORS,MEASURE",
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,BR1_COMPLETE_CURRENT_OUTPUT_SHA256.csv,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\BR1_COMPLETE_CURRENT_OUTPUT_SHA256.csv,61539,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,WINDOW12_VALIDATION.csv,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\legacy_window_features\WINDOW12_VALIDATION.csv,85265,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,WINDOW8_VALIDATION.csv,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\legacy_window_features\WINDOW8_VALIDATION.csv,91959,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,VALIDATION_MATCHED_PAIR_IDS.csv,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\splits\VALIDATION_MATCHED_PAIR_IDS.csv,1535,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,VALIDATION_MATCHED_PAIR_IDS.csv,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE_RUNNER\frozen_inputs\splits\VALIDATION_MATCHED_PAIR_IDS.csv,1535,,,,
F2,AUTHORITATIVE_CANDIDATE,3 positive authority signals,PRE_EVAL_FREEZE.json,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE\00_PRE_EVAL\PRE_EVAL_FREEZE.json,6822,,,"""condition"", ""conditional"", ""conditions"", ""if"", ""otherwise"", ""provided"", ""unless"", ""when"" ], ""PRESERVE"": [ ""freeze"", ""frozen"", ""invariant"", ""keep"", ""lock"", ""locked"", ""maintain"", ""maintained"", ""preserve"", ""preserved"", ""retain"", ""retained"" ],",
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,PRE_EVAL_FREEZE_SHA256.csv,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE\00_PRE_EVAL\PRE_EVAL_FREEZE_SHA256.csv,1828,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,PRE_EVAL_FREEZE_SHA256.txt,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE\00_PRE_EVAL\PRE_EVAL_FREEZE_SHA256.txt,66,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,JOINT_MULTILAYER_V2_VALIDATION_SCORES.csv,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE\03_RESULTS\JOINT_MULTILAYER_V2_VALIDATION_SCORES.csv,14628,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,OPERATOR_RELATIONAL_V2_VALIDATION_SCORES.csv,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE\03_RESULTS\OPERATOR_RELATIONAL_V2_VALIDATION_SCORES.csv,14584,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,STATUS_LEDGER.csv,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE\04_AUDIT\STATUS_LEDGER.csv,263,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,00_F2_BR1_REVIEW_BUNDLE_MANIFEST.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\00_F2_BR1_REVIEW_BUNDLE_MANIFEST.csv,30535,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,00_F2_BR1_REVIEW_BUNDLE_MANIFEST_SHA256.txt,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\00_F2_BR1_REVIEW_BUNDLE_MANIFEST_SHA256.txt,132,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,02_SOURCE_COPY_MANIFEST.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\02_SOURCE_COPY_MANIFEST.csv,2472,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,03_CANONICAL_INPUT_SHA256.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\03_CANONICAL_INPUT_SHA256.csv,67379,,,,
V11,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,00A_VALID_TEXT_COMPLETENESS.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\00A_VALID_TEXT_COMPLETENESS.json,122,,,,
V11,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,14_CONTROL_MATCH_AUDIT.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\14_CONTROL_MATCH_AUDIT.csv,92090,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,00D_PREFLIGHT_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_CLEAN\00D_PREFLIGHT_SUMMARY.json,194,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,14_CONTROL_MATCH_AUDIT.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_CLEAN\14_CONTROL_MATCH_AUDIT.csv,155653,,,,
F2,AUTHORITATIVE_CANDIDATE,authority filename plus positive status signal,00A_VALID_TEXT_COMPLETENESS.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\V6_CLEAN_FINGERPRINT_CONFIRMATORY_REPLICATION\00A_VALID_TEXT_COMPLETENESS.json,319,,,"s"": 8000, ""unique_success_cells"": 8000, ""valid_text_cells"": 8000, ""empty_text_cells"": 0, ""duplicate_success_cells"": 0, ""scientific_completeness"": true, ""hard_rule"": ""A valid cell requires non-empty visible text. Empty output must never be interpreted as a zero-feature response."" }",
F2,AUTHORITATIVE_CANDIDATE,authority filename plus positive status signal,16_FINAL_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\V6_CLEAN_FINGERPRINT_CONFIRMATORY_REPLICATION\16_FINAL_SUMMARY.json,20734,,," 1294809 }, ""estimated_cost_usd"": 1.8500908000000003, ""interpretation_boundary"": ""A positive V6 result supports a reproducible behavioral structural fingerprint vector under frozen interventions. It does not by itself establish modification of global model weights, hidden neural circuitry, training exposure, biological myelination, cross-user transmission or",
F2,AUTHORITATIVE_CANDIDATE,authority filename plus positive status signal,16_FINAL_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\V6_STRUCTURAL_FINGERPRINT_VECTOR\16_FINAL_SUMMARY.json,20810,,," 2016850 }, ""estimated_cost_usd"": 2.7129147999999996, ""interpretation_boundary"": ""A positive V6 result supports a reproducible behavioral structural fingerprint vector under frozen interventions. It does not by itself establish modification of global model weights, hidden neural circuitry, training exposure, biological myelination, cross-user transmission or",
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,16_FINAL_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\16_FINAL_SUMMARY.json,12447,,,,
F2,AUTHORITATIVE_CANDIDATE,authority filename plus positive status signal,16_FINAL_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\16_FINAL_SUMMARY.json,6348,,,"l fitting, together with independently replicated non-additive interactions."", ""hard_boundary"": ""Even a strong V8 result demonstrates behavioral compositional organization under frozen black-box interventions. It does not by itself prove that RSOS modified global model weights or identify the internal neural mechanism."" }",
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,16_FINAL_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\16_FINAL_SUMMARY.json,5091,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,FINAL_ZIP_SHA256.txt,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\FINAL_ZIP_SHA256.txt,66,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,OUTPUT_SHA256_MANIFEST.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\OUTPUT_SHA256_MANIFEST.csv,2731,,,,
V12,DEVELOPMENT_AUDIT_ONLY,development/audit-only signal found,R5_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\R5_SUMMARY.json,1469,,"ons"": 0, ""combined_holdout_min_distance"": 3.5962672296580367, ""combined_holdout_exact_6dp_collisions"": 0, ""interpretation"": { ""graph_specificity"": ""Development collision audit only"", ""operator_specificity"": ""Structural operator calibration only"", ""combined_specificity"": ""Development collision audit only"", ""rsos_specific_real_corpus"": ""UNTESTED"", ",,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,R5_SUMMARY.txt,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\R5_SUMMARY.txt,533,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,GRAPH_SPECIFICITY_SUMMARY.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\01_GRAPH_SPECIFICITY\GRAPH_SPECIFICITY_SUMMARY.csv,196,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,OPERATOR_SPECIFICITY_SUMMARY.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\02_OPERATOR_SPECIFICITY\OPERATOR_SPECIFICITY_SUMMARY.csv,226,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,COMBINED_SPECIFICITY_SUMMARY.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\03_COMBINED_COLLISION\COMBINED_SPECIFICITY_SUMMARY.csv,223,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,COMPLETE_PACKAGE_SHA256_MANIFEST.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\COMPLETE_PACKAGE_SHA256_MANIFEST.csv,2423,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,FINAL_ZIP_SHA256.txt,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\FINAL_ZIP_SHA256.txt,66,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,OUTPUT_SHA256_MANIFEST.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\OUTPUT_SHA256_MANIFEST.csv,1984,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,R4_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\R4_SUMMARY.json,3204,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,R4_SUMMARY.txt,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\R4_SUMMARY.txt,1821,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,AUTHENTIC_V12_PERTURBATION_SUMMARY.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_R4_V12_GRAPH_CALIBRATION\02_AUTHENTIC_EDGE_PERTURBATIONS\AUTHENTIC_V12_PERTURBATION_SUMMARY.csv,272,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,COMPLETE_PACKAGE_SHA256_MANIFEST.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\COMPLETE_PACKAGE_SHA256_MANIFEST.csv,2426,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,COMPLETE_ZIP_SHA256.txt,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\COMPLETE_ZIP_SHA256.txt,66,,,,
